wafer,polymer,treatment,pre_count,post_count,matched_count,process_time
w85,2c,H2O2,46.0,48.0,34.0,0.9
w84,2c,KOH,42.0,36.0,35.0,1.7
w83,2c,Napoly,102.0,120.0,97.0,1.3
w86,2c,pentane,97.0,110.0,89.0,1.8
w82,2c,water,148.0,144.0,139.0,1.6
w91,4c,H2O2,182.0,112.0,30.0,2.8
w90,4c,KOH,227.0,206.0,178.0,2.7
w89,4c,Napoly,63.0,54.0,31.0,0.2
w92,4c,pentane,288.0,252.0,59.0,2.9
w88,4c,water,76.0,53.0,32.0,0.4
w64,ABS,H2O2,25.0,23.0,10.0,0.5
w65,ABS,KOH,17.0,5.0,1.0,0.5
w66,ABS,Napoly,46.0,26.0,4.0,0.7
w67,ABS,pentane,95.0,94.0,49.0,3.3
w63,ABS,water,46.0,38.0,19.0,0.8
w79,EVA,H2O2,62.0,58.0,45.0,1.8
w78,EVA,KOH,60.0,60.0,34.0,1.9
w77,EVA,Napoly,42.0,38.0,28.0,1.8
w80,EVA,pentane,30.0,33.0,27.0,2.0
w76,EVA,water,54.0,55.0,35.0,5.2
w10,LDPE,H2O2,,,,
w13,LDPE,H2O2,143.0,114.0,57.0,2.7
w02b,LDPE,KOH,134.0,131.0,97.0,5.7
w04,LDPE,Napoly,111.0,111.0,85.0,6.3
w03,LDPE,pentane,,,,
w18,LDPE,pentane,265.0,269.0,200.0,14.2
w02a,LDPE,water,108.0,108.0,85.0,4.2
w24,PA6,H2O2,141.0,187.0,90.0,1.4
w20,PA6,HCl,158.0,12.0,0.0,2.4
w19,PA6,KOH,93.0,149.0,86.0,2.6
w21,PA6,KOH,,,,
w25,PA6,Napoly,80.0,85.0,60.0,1.3
w23,PA6,pentane,279.0,294.0,210.0,12.3
w22,PA6,water,392.0,387.0,336.0,14.3
w52,PC,H2O2,19.0,21.0,2.0,0.3
w54,PC,KOH,14.0,22.0,7.0,0.3
w53,PC,Napoly,17.0,20.0,9.0,0.4
w55,PC,pentane,76.0,62.0,38.0,2.1
w51,PC,water,69.0,70.0,34.0,1.3
w08,PET,H2O2,,,,
w17,PET,H2O2,190.0,177.0,123.0,4.9
w31a,PET,H2O2,,,,
w05,PET,KOH,187.0,173.0,75.0,3.7
w16,PET,Napoly,169.0,224.0,151.0,2.8
w15,PET,pentane,325.0,330.0,268.0,12.3
w11,PET,water,234.0,292.0,130.0,4.9
w70,PMMA,H2O2,5.0,16.0,0.0,5.7
w74,PMMA,H2O2,,,,
w72,PMMA,KOH,61.0,152.0,19.0,5.9
w71,PMMA,Napoly,94.0,97.0,35.0,4.9
w73,PMMA,pentane,106.0,118.0,16.0,4.5
w69,PMMA,water,10.0,8.0,3.0,0.4
w47,PP,H2O2,22.0,23.0,7.0,0.4
w45,PP,KOH,245.0,83.0,39.0,1.4
w49,PP,KOH,,,,
w48,PP,Napoly,24.0,23.0,18.0,0.5
w50,PP,pentane,50.0,48.0,29.0,1.0
w46,PP,water,40.0,41.0,29.0,1.0
w35,PS,H2O2,,,,
w97,PS,H2O2,348.0,540.0,87.0,7.3
w34,PS,KOH,12.0,17.0,2.0,0.3
w38,PS,KOH,,,,
w32,PS,Napoly,50.0,51.0,21.0,0.9
w33,PS,pentane,,,,
w36,PS,pentane,,,,
w96,PS,pentane,88.0,22.0,10.0,0.3
w37,PS,water,22.0,4.0,0.0,0.8
w95,PVC,H2O2,44.0,150.0,20.0,1.1
w39,PVC,KOH,,,,
w100,PVC,KOH,93.0,17.0,7.0,2.0
w44,PVC,Napoly,39.0,204.0,5.0,4.1
w40,PVC,pentane,,,,
w99,PVC,pentane,139.0,127.0,66.0,3.6
w94,PVC,water,11.0,6.0,5.0,0.3
w58,TPU,H2O2,18.0,30.0,15.0,0.5
w59,TPU,KOH,22.0,30.0,16.0,0.6
w60,TPU,Napoly,30.0,34.0,23.0,0.9
w61,TPU,pentane,86.0,72.0,62.0,1.7
w57,TPU,water,35.0,32.0,31.0,0.7
