wafer,polymer,treatment
w01,LDPE,
w02a,LDPE,water
w02b,LDPE,KOH
w03,LDPE,pentane
w04,LDPE,Napoly
w05,PET,KOH
w06,PET,
w07,PET,
w08,PET,H2O2
w09,PET,
w10,LDPE,H2O2
w11,PET,water
w12,LDPE,
w13,LDPE,H2O2
w14,,
w15,PET,pentane
w16,PET,Napoly
w17,PET,H2O2
w18,LDPE,pentane
w19,PA6,KOH
w20,PA6,HCl
w21,PA6,KOH
w22,PA6,water
w23,PA6,pentane
w24,PA6,H2O2
w25,PA6,Napoly
w26,PA6,
w27,,
w28,,
w29,,
w30,,
w31a,PET,H2O2
w31b,PET,
w32,PS,Napoly
w33,PS,pentane
w34,PS,KOH
w35,PS,H2O2
w36,PS,pentane
w37,PS,water
w38,PS,KOH
w39,PVC,KOH
w40,PVC,pentane
w41,PVC,
w42,PVC,
w43,PVC,
w44,PVC,Napoly
w45,PP,KOH
w46,PP,water
w47,PP,H2O2
w48,PP,Napoly
w49,PP,KOH
w50,PP,pentane
w51,PC,water
w52,PC,H2O2
w53,PC,Napoly
w54,PC,KOH
w55,PC,pentane
w56,PC,
w57,TPU,water
w58,TPU,H2O2
w59,TPU,KOH
w60,TPU,Napoly
w61,TPU,pentane
w62,TPU,
w63,ABS,water
w64,ABS,H2O2
w65,ABS,KOH
w66,ABS,Napoly
w67,ABS,pentane
w68,ABS,
w69,PMMA,water
w70,PMMA,H2O2
w71,PMMA,Napoly
w72,PMMA,KOH
w73,PMMA,pentane
w74,PMMA,H2O2
w75,PMMA,
w76,EVA,water
w77,EVA,Napoly
w78,EVA,KOH
w79,EVA,H2O2
w80,EVA,pentane
w81,EVA,
w82,2c,water
w83,2c,Napoly
w84,2c,KOH
w85,2c,H2O2
w86,2c,pentane
w87,2c,
w88,4c,water
w89,4c,Napoly
w90,4c,KOH
w91,4c,H2O2
w92,4c,pentane
w93,4c,
w94,PVC,water
w95,PVC,H2O2
w96,PS,pentane
w97,PS,H2O2
w98,PS,
w99,PVC,pentane
w100,PVC,KOH
w101,PA6,
w102,PA6,
